OrderID,CustomerID,CustomerName,Email,Phone,OrderDate,ProductID,ProductName,Category,Quantity,UnitPrice,Discount,TaxRate,ShippingCost,TotalAmount,PaymentMethod,OrderStatus,ShippingAddress,City,State,ZipCode,Country
ORD100045,CUST6224,Customer 6224,customer6224@example.com,+1-555-2642,2023-10-03 18:00:00,PRD640,Product 640,Health,7,295.01,0.01,0.08,9.25,2217.22,Bank Transfer,Pending,6762 Main St,City66,MI,29535,USA
ORD100046,CUST2669,Customer 2669,customer2669@example.com,+1-555-2393,2023-05-19 07:00:00,PRD681,Product 681,Automotive,4,651.89,0.17,0.08,11.57,2348.99,Debit Card,Processing,8119 Main St,City45,TX,39627,USA
ORD100047,CUST2867,Customer 2867,customer2867@example.com,+1-555-4593,2023-11-26 14:00:00,PRD109,Product 109,Books,4,561.24,0.02,0.08,11.27,2387.34,Debit Card,Shipped,1083 Main St,City10,OH,50139,USA
ORD100048,CUST7226,Customer 7226,customer7226@example.com,+1-555-6901,2023-11-26 09:00:00,PRD469,Product 469,Electronics,8,781.83,0.22,0.08,7.92,5276.83,Bank Transfer,Shipped,2953 Main St,City51,IL,79791,USA
ORD100049,CUST4252,Customer 4252,customer4252@example.com,+1-555-3841,2023-05-02 20:00:00,PRD473,Product 473,Electronics,8,492.96,0.24,0.08,21.75,3258.72,Bank Transfer,Delivered,2852 Main St,City77,GA,12354,USA
ORD100050,CUST4796,Customer 4796,customer4796@example.com,+1-555-3597,2023-03-19 19:00:00,PRD158,Product 158,Automotive,8,51.09,0.25,0.08,6.78,337.84,Credit Card,Delivered,6274 Main St,City92,IL,44790,USA
ORD100051,CUST2337,Customer 2337,customer2337@example.com,+1-555-6970,2023-11-23 05:00:00,PRD302,Product 302,Books,7,899.69,0.04,0.08,21.03,6550.62,Bank Transfer,Pending,4174 Main St,City35,GA,60204,USA
ORD100052,CUST8114,Customer 8114,customer8114@example.com,+1-555-9423,2023-07-03 06:00:00,PRD287,Product 287,Sports,8,723.18,0.22,0.08,7.58,4881.23,Bank Transfer,Pending,1487 Main St,City23,NY,52720,USA
ORD100053,CUST5665,Customer 5665,customer5665@example.com,+1-555-2707,2023-08-21 22:00:00,PRD974,Product 974,Health,6,887.23,0.29,0.08,24.68,4106.65,PayPal,Shipped,3044 Main St,City42,IL,32491,USA
ORD100054,CUST5137,Customer 5137,customer5137@example.com,+1-555-2205,2023-11-13 21:00:00,PRD603,Product 603,Electronics,10,685.39,0.03,0.08,21.86,7202.01,Bank Transfer,Processing,1728 Main St,City42,IL,48867,USA
ORD100055,CUST6385,Customer 6385,customer6385@example.com,+1-555-3093,2023-09-15 08:00:00,PRD563,Product 563,Sports,4,830.88,0.23,0.08,7.29,2771.13,PayPal,Shipped,1187 Main St,City52,IL,68607,USA
ORD100056,CUST4728,Customer 4728,customer4728@example.com,+1-555-9593,2023-10-23 11:00:00,PRD878,Product 878,Electronics,9,946.65,0.05,0.08,7.3,8748.67,Cash on Delivery,Pending,4908 Main St,City73,PA,37674,USA
ORD100057,CUST1544,Customer 1544,customer1544@example.com,+1-555-1518,2023-11-08 19:00:00,PRD490,Product 490,Sports,10,830.15,0.08,0.08,24.49,8272.86,Credit Card,Delivered,7207 Main St,City91,OH,96663,USA
ORD100058,CUST5217,Customer 5217,customer5217@example.com,+1-555-2270,2023-11-28 22:00:00,PRD885,Product 885,Automotive,1,676.94,0.15,0.08,21.84,643.27,PayPal,Shipped,3905 Main St,City4,MI,78098,USA
ORD100059,CUST5546,Customer 5546,customer5546@example.com,+1-555-1706,2023-01-04 13:00:00,PRD535,Product 535,Toys,10,951.26,0.02,0.08,13.6,10081.74,Bank Transfer,Delivered,5623 Main St,City8,TX,91780,USA
ORD100060,CUST9702,Customer 9702,customer9702@example.com,+1-555-3075,2023-02-07 17:00:00,PRD826,Product 826,Clothing,5,815.42,0.06,0.08,16.85,4155.92,Debit Card,Cancelled,4162 Main St,City80,IL,53318,USA
ORD100061,CUST2743,Customer 2743,customer2743@example.com,+1-555-1253,2023-12-12 09:00:00,PRD702,Product 702,Electronics,1,439.44,0.28,0.08,22.44,364.15,Bank Transfer,Pending,2280 Main St,City21,FL,62826,USA
ORD100062,CUST2438,Customer 2438,customer2438@example.com,+1-555-1558,2023-06-05 02:00:00,PRD333,Product 333,Clothing,1,224.1,0.2,0.08,6.15,199.77,Bank Transfer,Pending,2776 Main St,City44,OH,19820,USA
ORD100063,CUST4742,Customer 4742,customer4742@example.com,+1-555-9952,2023-05-31 20:00:00,PRD838,Product 838,Books,7,894.13,0.14,0.08,17.0,5830.28,Debit Card,Shipped,4281 Main St,City7,NY,42224,USA
ORD100064,CUST1206,Customer 1206,customer1206@example.com,+1-555-1652,2023-10-09 07:00:00,PRD551,Product 551,Clothing,1,254.89,0.25,0.08,19.15,225.61,Bank Transfer,Pending,1044 Main St,City96,NY,50800,USA
ORD100065,CUST9351,Customer 9351,customer9351@example.com,+1-555-5200,2023-03-17 09:00:00,PRD778,Product 778,Automotive,6,185.58,0.02,0.08,8.17,1186.68,Bank Transfer,Cancelled,8038 Main St,City93,OH,55874,USA
ORD100066,CUST8037,Customer 8037,customer8037@example.com,+1-555-9001,2023-06-26 09:00:00,PRD539,Product 539,Health,8,832.81,0.14,0.08,17.08,6205.19,Debit Card,Pending,7279 Main St,City47,PA,52256,USA
ORD100067,CUST4906,Customer 4906,customer4906@example.com,+1-555-2135,2023-02-03 01:00:00,PRD306,Product 306,Electronics,1,857.96,0.25,0.08,9.7,704.65,Debit Card,Cancelled,4208 Main St,City47,NC,80459,USA
ORD100068,CUST2808,Customer 2808,customer2808@example.com,+1-555-5669,2023-09-02 01:00:00,PRD297,Product 297,Health,10,395.75,0.29,0.08,10.38,3044.99,Credit Card,Processing,8966 Main St,City31,GA,79737,USA
ORD100069,CUST6942,Customer 6942,customer6942@example.com,+1-555-4343,2023-11-11 18:00:00,PRD413,Product 413,Toys,4,883.0,0.24,0.08,5.64,2904.71,PayPal,Processing,2800 Main St,City28,CA,61120,USA
ORD100070,CUST2913,Customer 2913,customer2913@example.com,+1-555-5030,2023-03-12 16:00:00,PRD576,Product 576,Electronics,1,789.87,0.23,0.08,24.44,681.3,Debit Card,Shipped,9125 Main St,City96,MI,58144,USA
ORD100071,CUST7881,Customer 7881,customer7881@example.com,+1-555-2083,2023-09-05 05:00:00,PRD732,Product 732,Automotive,1,369.66,0.15,0.08,19.75,359.1,Cash on Delivery,Pending,6842 Main St,City11,IL,33243,USA
ORD100072,CUST1925,Customer 1925,customer1925@example.com,+1-555-5762,2023-06-26 11:00:00,PRD136,Product 136,Books,8,198.93,0.15,0.08,9.26,1470.2,Bank Transfer,Pending,4444 Main St,City1,GA,70547,USA
ORD100073,CUST3381,Customer 3381,customer3381@example.com,+1-555-2933,2023-11-29 04:00:00,PRD225,Product 225,Health,5,728.29,0.22,0.08,22.5,3090.06,Debit Card,Pending,6401 Main St,City31,OH,89047,USA
ORD100074,CUST7477,Customer 7477,customer7477@example.com,+1-555-1349,2023-04-11 21:00:00,PRD568,Product 568,Electronics,6,153.88,0.13,0.08,13.74,881.25,PayPal,Shipped,6759 Main St,City7,IL,47615,USA
ORD100075,CUST3447,Customer 3447,customer3447@example.com,+1-555-7996,2023-03-10 11:00:00,PRD567,Product 567,Clothing,6,704.19,0.13,0.08,14.39,3984.33,Credit Card,Processing,5853 Main St,City88,IL,17978,USA
ORD100076,CUST7257,Customer 7257,customer7257@example.com,+1-555-4554,2023-01-10 23:00:00,PRD358,Product 358,Toys,5,541.35,0.08,0.08,10.19,2699.62,Debit Card,Shipped,8244 Main St,City33,CA,20044,USA
ORD100077,CUST6013,Customer 6013,customer6013@example.com,+1-555-6810,2023-05-04 02:00:00,PRD484,Product 484,Sports,7,352.14,0.3,0.08,23.86,1887.38,Bank Transfer,Delivered,5247 Main St,City52,GA,72028,USA
ORD100078,CUST8068,Customer 8068,customer8068@example.com,+1-555-8456,2023-01-10 13:00:00,PRD391,Product 391,Clothing,1,469.41,0.17,0.08,19.04,439.82,Credit Card,Shipped,9145 Main St,City4,PA,14448,USA
ORD100079,CUST1364,Customer 1364,customer1364@example.com,+1-555-7000,2023-11-06 21:00:00,PRD875,Product 875,Toys,3,392.97,0.29,0.08,21.85,925.84,Debit Card,Pending,918 Main St,City48,CA,42176,USA
ORD100080,CUST6455,Customer 6455,customer6455@example.com,+1-555-3676,2023-02-10 10:00:00,PRD270,Product 270,Books,6,456.37,0.13,0.08,16.69,2589.52,Cash on Delivery,Shipped,3303 Main St,City47,CA,36567,USA
ORD100081,CUST9962,Customer 9962,customer9962@example.com,+1-555-1224,2023-08-11 01:00:00,PRD304,Product 304,Toys,8,423.97,0.11,0.08,11.2,3271.36,PayPal,Pending,3101 Main St,City28,OH,28426,USA
ORD100082,CUST5720,Customer 5720,customer5720@example.com,+1-555-2740,2023-09-28 00:00:00,PRD910,Product 910,Toys,7,375.6,0.02,0.08,23.69,2806.44,Credit Card,Cancelled,5199 Main St,City20,MI,85629,USA
ORD100083,CUST5281,Customer 5281,customer5281@example.com,+1-555-2371,2023-04-04 07:00:00,PRD907,Product 907,Electronics,2,359.51,0.16,0.08,22.58,674.87,PayPal,Pending,3753 Main St,City50,TX,57725,USA
ORD100084,CUST6190,Customer 6190,customer6190@example.com,+1-555-7406,2023-02-20 20:00:00,PRD874,Product 874,Electronics,4,409.58,0.28,0.08,23.83,1297.79,Cash on Delivery,Processing,3505 Main St,City93,TX,33934,USA
ORD100085,CUST8492,Customer 8492,customer8492@example.com,+1-555-9915,2023-03-29 07:00:00,PRD369,Product 369,Automotive,9,254.59,0.11,0.08,5.28,2207.69,Debit Card,Processing,1410 Main St,City8,GA,27618,USA
ORD100086,CUST3496,Customer 3496,customer3496@example.com,+1-555-2941,2023-07-06 11:00:00,PRD321,Product 321,Electronics,9,648.93,0.26,0.08,11.14,4678.76,PayPal,Processing,5753 Main St,City83,MI,30488,USA
ORD100087,CUST8674,Customer 8674,customer8674@example.com,+1-555-5842,2023-06-19 16:00:00,PRD169,Product 169,Electronics,10,586.55,0.23,0.08,21.09,4898.84,Cash on Delivery,Pending,5361 Main St,City23,CA,55091,USA
ORD100088,CUST9069,Customer 9069,customer9069@example.com,+1-555-8973,2023-10-18 06:00:00,PRD465,Product 465,Electronics,6,85.64,0.03,0.08,17.24,555.54,Credit Card,Delivered,7405 Main St,City30,PA,92904,USA
ORD100089,CUST8012,Customer 8012,customer8012@example.com,+1-555-2152,2023-03-29 17:00:00,PRD512,Product 512,Books,6,729.22,0.25,0.08,20.84,3564.85,Bank Transfer,Delivered,3348 Main St,City23,IL,56857,USA
ORD100090,CUST4480,Customer 4480,customer4480@example.com,+1-555-4634,2023-08-09 05:00:00,PRD434,Product 434,Health,6,574.57,0.29,0.08,6.82,2650.3,Debit Card,Delivered,1173 Main St,City50,FL,64158,USA
ORD100091,CUST9576,Customer 9576,customer9576@example.com,+1-555-6241,2023-01-01 05:00:00,PRD278,Product 278,Automotive,6,324.87,0.23,0.08,19.87,1640.84,Credit Card,Processing,5032 Main St,City52,CA,21433,USA
ORD100092,CUST3434,Customer 3434,customer3434@example.com,+1-555-1144,2023-08-05 04:00:00,PRD871,Product 871,Toys,10,104.24,0.0,0.08,14.69,1140.48,Bank Transfer,Delivered,3336 Main St,City36,MI,80102,USA
ORD100093,CUST6164,Customer 6164,customer6164@example.com,+1-555-8621,2023-08-25 06:00:00,PRD670,Product 670,Sports,10,40.25,0.28,0.08,15.31,328.29,Debit Card,Cancelled,6587 Main St,City48,GA,73597,USA
ORD100094,CUST2711,Customer 2711,customer2711@example.com,+1-555-3671,2023-09-14 15:00:00,PRD929,Product 929,Books,10,482.36,0.07,0.08,23.01,4867.83,Debit Card,Shipped,3250 Main St,City3,NY,79734,USA
ORD100095,CUST5441,Customer 5441,customer5441@example.com,+1-555-9231,2023-01-16 15:00:00,PRD756,Product 756,Electronics,9,242.57,0.13,0.08,10.63,2061.9,Bank Transfer,Cancelled,7388 Main St,City35,MI,17197,USA
ORD100096,CUST4194,Customer 4194,customer4194@example.com,+1-555-9765,2023-08-02 02:00:00,PRD536,Product 536,Automotive,4,710.59,0.06,0.08,8.05,2893.61,PayPal,Processing,5596 Main St,City42,NC,66027,USA
ORD100097,CUST5262,Customer 5262,customer5262@example.com,+1-555-8802,2023-10-09 18:00:00,PRD572,Product 572,Clothing,4,888.57,0.05,0.08,14.4,3661.09,Debit Card,Processing,1248 Main St,City70,OH,24529,USA
ORD100098,CUST7171,Customer 7171,customer7171@example.com,+1-555-2863,2023-08-23 19:00:00,PRD940,Product 940,Health,2,900.03,0.08,0.08,24.8,1813.34,Debit Card,Cancelled,7539 Main St,City50,NC,56626,USA
ORD100099,CUST7634,Customer 7634,customer7634@example.com,+1-555-2155,2023-08-13 05:00:00,PRD949,Product 949,Home & Garden,3,893.94,0.28,0.08,19.63,2105.01,Cash on Delivery,Shipped,6299 Main St,City44,NY,20954,USA
ORD100100,CUST6525,Customer 6525,customer6525@example.com,+1-555-4559,2023-12-27 05:00:00,PRD121,Product 121,Sports,5,95.56,0.08,0.08,8.78,483.52,PayPal,Pending,2992 Main St,City2,CA,76140,USA
ORD100101,CUST8212,Customer 8212,customer8212@example.com,+1-555-6080,2023-02-09 01:00:00,PRD406,Product 406,Toys,9,844.85,0.18,0.08,10.46,6744.25,Credit Card,Delivered,2065 Main St,City100,MI,44443,USA
ORD100102,CUST7455,Customer 7455,customer7455@example.com,+1-555-2566,2023-01-30 16:00:00,PRD304,Product 304,Clothing,4,822.55,0.15,0.08,23.33,3043.73,Cash on Delivery,Pending,2228 Main St,City55,MI,61885,USA
ORD100103,CUST7429,Customer 7429,customer7429@example.com,+1-555-9120,2023-03-27 14:00:00,PRD137,Product 137,Sports,5,760.71,0.27,0.08,10.41,3009.13,Debit Card,Processing,1900 Main St,City8,GA,72360,USA
ORD100104,CUST6109,Customer 6109,customer6109@example.com,+1-555-3548,2023-09-17 12:00:00,PRD461,Product 461,Health,8,849.15,0.17,0.08,16.31,6105.73,Bank Transfer,Processing,2467 Main St,City69,NY,13527,USA
ORD100105,CUST9852,Customer 9852,customer9852@example.com,+1-555-1436,2023-06-23 06:00:00,PRD711,Product 711,Automotive,7,692.41,0.22,0.08,14.29,4097.29,Debit Card,Cancelled,9359 Main St,City6,NY,75836,USA
ORD100106,CUST9357,Customer 9357,customer9357@example.com,+1-555-6674,2023-03-07 10:00:00,PRD889,Product 889,Toys,4,737.77,0.22,0.08,14.7,2500.69,Debit Card,Cancelled,1982 Main St,City73,NC,32566,USA
ORD100107,CUST7225,Customer 7225,customer7225@example.com,+1-555-7623,2023-05-17 20:00:00,PRD264,Product 264,Electronics,7,130.09,0.1,0.08,21.87,907.0,Cash on Delivery,Processing,1071 Main St,City75,MI,46706,USA
ORD100108,CUST1990,Customer 1990,customer1990@example.com,+1-555-1791,2023-10-16 12:00:00,PRD796,Product 796,Health,9,347.84,0.2,0.08,6.67,2711.47,Credit Card,Processing,9386 Main St,City13,TX,86395,USA
ORD100109,CUST8263,Customer 8263,customer8263@example.com,+1-555-3068,2023-05-24 08:00:00,PRD829,Product 829,Sports,4,176.12,0.11,0.08,5.01,682.16,Bank Transfer,Pending,2622 Main St,City14,FL,13058,USA
ORD100110,CUST3988,Customer 3988,customer3988@example.com,+1-555-7251,2023-03-12 13:00:00,PRD255,Product 255,Toys,2,879.23,0.27,0.08,19.62,1405.99,Bank Transfer,Cancelled,6281 Main St,City45,NC,46642,USA
ORD100111,CUST6958,Customer 6958,customer6958@example.com,+1-555-8577,2023-10-09 09:00:00,PRD832,Product 832,Clothing,4,803.33,0.0,0.08,24.37,3494.76,Cash on Delivery,Shipped,2586 Main St,City45,MI,40405,USA
ORD100112,CUST2417,Customer 2417,customer2417@example.com,+1-555-2945,2023-03-05 04:00:00,PRD420,Product 420,Clothing,5,910.0,0.29,0.08,8.86,3497.8,Credit Card,Shipped,1908 Main St,City90,CA,46091,USA
ORD100113,CUST8456,Customer 8456,customer8456@example.com,+1-555-6722,2023-10-25 04:00:00,PRD143,Product 143,Sports,7,127.45,0.14,0.08,16.98,845.61,Cash on Delivery,Processing,8397 Main St,City50,NC,96660,USA
ORD100114,CUST1339,Customer 1339,customer1339@example.com,+1-555-6031,2023-10-04 04:00:00,PRD427,Product 427,Books,6,809.79,0.24,0.08,21.84,4009.89,Debit Card,Delivered,4864 Main St,City26,IL,47765,USA
ORD100115,CUST8744,Customer 8744,customer8744@example.com,+1-555-4044,2023-12-27 10:00:00,PRD663,Product 663,Home & Garden,3,750.4,0.23,0.08,5.07,1877.17,Credit Card,Cancelled,8241 Main St,City52,GA,84699,USA
ORD100116,CUST1244,Customer 1244,customer1244@example.com,+1-555-2912,2023-01-27 10:00:00,PRD668,Product 668,Automotive,8,476.98,0.12,0.08,24.28,3650.85,Bank Transfer,Shipped,9212 Main St,City47,PA,20141,USA
ORD100117,CUST3620,Customer 3620,customer3620@example.com,+1-555-8557,2023-10-22 20:00:00,PRD839,Product 839,Electronics,9,187.32,0.09,0.08,22.81,1679.69,Bank Transfer,Pending,9234 Main St,City85,GA,69778,USA
ORD100118,CUST6696,Customer 6696,customer6696@example.com,+1-555-4753,2023-08-04 03:00:00,PRD355,Product 355,Automotive,5,617.06,0.29,0.08,13.0,2378.81,PayPal,Processing,5743 Main St,City30,PA,40070,USA
